,close,high,low,open,time,volumefrom,volumeto,timestamp
0,0.04951,0.04951,0.04951,0.04951,1279324800,20.0,0.9902,2010-07-16 20:00:00
1,0.08584,0.08585,0.05941,0.04951,1279411200,75.01,5.09,2010-07-17 20:00:00
2,0.0808,0.09307,0.07723,0.08584,1279497600,574.0,49.66,2010-07-18 20:00:00
3,0.07474,0.08181,0.07426,0.0808,1279584000,262.0,20.59,2010-07-19 20:00:00
4,0.07921,0.07921,0.06634,0.07474,1279670400,575.0,42.26,2010-07-20 20:00:00
5,0.0505,0.08181,0.0505,0.07921,1279756800,2160.0,129.78,2010-07-21 20:00:00
6,0.06262,0.06767,0.0505,0.0505,1279843200,2402.5,141.07,2010-07-22 20:00:00
7,0.05454,0.06161,0.05049,0.06262,1279929600,496.32,26.73,2010-07-23 20:00:00
8,0.0505,0.05941,0.0505,0.05454,1280016000,1551.48,85.06,2010-07-24 20:00:00
9,0.056,0.056,0.05,0.0505,1280102400,877.0,46.91,2010-07-25 20:00:00
10,0.06,0.0605,0.053,0.056,1280188800,3373.69,196.92,2010-07-26 20:00:00
11,0.0589,0.062,0.054,0.06,1280275200,4390.29,255.76,2010-07-27 20:00:00
12,0.0699,0.0699,0.0571,0.0589,1280361600,8058.49,528.32,2010-07-28 20:00:00
13,0.0627,0.0698,0.0582,0.0699,1280448000,3020.85,198.53,2010-07-29 20:00:00
14,0.06785,0.06889,0.056,0.0627,1280534400,4022.25,243.9,2010-07-30 20:00:00
15,0.0611,0.065,0.06,0.06785,1280620800,2601.0,162.65,2010-07-31 20:00:00
16,0.06,0.0633,0.06,0.0611,1280707200,3599.0,221.2,2010-08-01 20:00:00
17,0.06,0.065,0.059,0.06,1280793600,9821.46,606.05,2010-08-02 20:00:00
18,0.057,0.06231,0.057,0.06,1280880000,3494.0,210.77,2010-08-03 20:00:00
19,0.061,0.061,0.058,0.057,1280966400,5034.07,303.61,2010-08-04 20:00:00
20,0.0623,0.0624,0.0607,0.061,1281052800,1395.0,85.91,2010-08-05 20:00:00
21,0.059,0.0622,0.059,0.0623,1281139200,2619.0,157.34,2010-08-06 20:00:00
22,0.0609,0.061,0.059,0.059,1281225600,2201.0,132.6,2010-08-07 20:00:00
23,0.071,0.0735,0.0593,0.0609,1281312000,13631.09,886.93,2010-08-08 20:00:00
24,0.07,0.0709,0.06651,0.071,1281398400,1310.39,88.87,2010-08-09 20:00:00
25,0.067,0.07541,0.06,0.07,1281484800,14061.18,1015.64,2010-08-10 20:00:00
26,0.07,0.07,0.06141,0.067,1281571200,2062.31,134.49,2010-08-11 20:00:00
27,0.0645,0.068,0.0645,0.07,1281657600,3591.77,233.8,2010-08-12 20:00:00
28,0.067,0.0695,0.0645,0.0645,1281744000,4404.2,295.31,2010-08-13 20:00:00
29,0.06529,0.067,0.065,0.067,1281830400,4462.87,294.95,2010-08-14 20:00:00
30,0.0655,0.0679,0.062,0.06529,1281916800,10731.47,696.8,2010-08-15 20:00:00
31,0.07,0.0769,0.06243,0.0655,1282003200,13185.74,915.0,2010-08-16 20:00:00
32,0.068,0.0733,0.067,0.07,1282089600,2953.98,203.83,2010-08-17 20:00:00
33,0.0667,0.0679,0.0667,0.068,1282176000,741.12,50.04,2010-08-18 20:00:00
34,0.0655,0.0667,0.065,0.0667,1282262400,4199.75,276.41,2010-08-19 20:00:00
35,0.0664,0.0669,0.0644,0.0655,1282348800,10443.86,688.51,2010-08-20 20:00:00
36,0.066,0.0664,0.0612,0.0664,1282435200,18648.97,1183.64,2010-08-21 20:00:00
37,0.06491,0.06689,0.063,0.066,1282521600,4297.49,281.88,2010-08-22 20:00:00
38,0.065,0.0665,0.06491,0.06491,1282608000,6711.76,444.66,2010-08-23 20:00:00
39,0.0648,0.0665,0.0641,0.065,1282694400,4228.88,278.86,2010-08-24 20:00:00
40,0.064,0.0658,0.064,0.0648,1282780800,3870.01,251.56,2010-08-25 20:00:00
41,0.065,0.065,0.063,0.064,1282867200,9009.97,583.71,2010-08-26 20:00:00
42,0.0641,0.065,0.0641,0.065,1282953600,6174.01,399.45,2010-08-27 20:00:00
43,0.064,0.0648,0.064,0.0641,1283040000,3173.4,204.88,2010-08-28 20:00:00
44,0.06497,0.069,0.03211,0.064,1283126400,34193.14,2135.0,2010-08-29 20:00:00
45,0.06,0.0649,0.06,0.06497,1283212800,14886.91,933.23,2010-08-30 20:00:00
46,0.0629,0.0629,0.05961,0.06,1283299200,7164.72,436.73,2010-08-31 20:00:00
47,0.0634,0.0634,0.0601,0.0629,1283385600,8150.73,498.98,2010-09-01 20:00:00
48,0.06085,0.063,0.06085,0.0634,1283472000,892.0,54.61,2010-09-02 20:00:00
49,0.06238,0.06238,0.0612,0.06085,1283558400,3301.0,202.27,2010-09-03 20:00:00
50,0.0616,0.064,0.0605,0.06238,1283644800,8459.24,527.97,2010-09-04 20:00:00
51,0.0616,0.0627,0.0616,0.0616,1283731200,910.0,56.13,2010-09-05 20:00:00
52,0.061,0.06201,0.0603,0.0616,1283817600,3457.19,212.35,2010-09-06 20:00:00
53,0.062,0.062,0.06099,0.061,1283904000,2345.41,143.36,2010-09-07 20:00:00
54,0.06111,0.0624,0.06109,0.062,1283990400,1733.5,107.68,2010-09-08 20:00:00
55,0.0618,0.0618,0.06014,0.06111,1284076800,4939.79,301.8,2010-09-09 20:00:00
56,0.06366,0.065,0.0619,0.0618,1284163200,7749.14,491.19,2010-09-10 20:00:00
57,0.0615,0.0621,0.0615,0.06366,1284249600,793.88,48.99,2010-09-11 20:00:00
58,0.06219,0.064,0.0607,0.0615,1284336000,10076.34,632.2,2010-09-12 20:00:00
59,0.06199,0.175,0.061,0.06219,1284422400,14014.81,876.76,2010-09-13 20:00:00
60,0.0604,0.0625,0.0604,0.06199,1284508800,3651.85,223.27,2010-09-14 20:00:00
61,0.0619,0.0619,0.0618,0.0604,1284595200,730.0,45.17,2010-09-15 20:00:00
62,0.059,0.0609,0.059,0.0619,1284681600,7262.0,438.94,2010-09-16 20:00:00
63,0.061,0.061,0.05761,0.059,1284768000,7092.61,427.76,2010-09-17 20:00:00
64,0.0627,0.0627,0.06,0.061,1284854400,12852.17,797.36,2010-09-18 20:00:00
65,0.0621,0.0634,0.062,0.0627,1284940800,14307.94,891.19,2010-09-19 20:00:00
66,0.06265,0.0633,0.0623,0.0621,1285027200,5735.95,359.82,2010-09-20 20:00:00
67,0.0622,0.0624,0.06147,0.06265,1285113600,11560.4,717.33,2010-09-21 20:00:00
68,0.06231,0.063,0.0615,0.0622,1285200000,15505.33,970.09,2010-09-22 20:00:00
69,0.0622,0.0624,0.06209,0.06231,1285286400,684.38,42.66,2010-09-23 20:00:00
70,0.06202,0.0624,0.0617,0.0622,1285372800,2152.5,133.05,2010-09-24 20:00:00
71,0.062,0.06228,0.06186,0.06202,1285459200,12058.13,748.2,2010-09-25 20:00:00
72,0.0622,0.06228,0.0619,0.062,1285545600,10752.25,668.53,2010-09-26 20:00:00
73,0.0619,0.06271,0.0617,0.0622,1285632000,7086.15,439.05,2010-09-27 20:00:00
74,0.06191,0.062,0.0615,0.0619,1285718400,23475.64,1450.79,2010-09-28 20:00:00
75,0.0619,0.0619,0.06155,0.06191,1285804800,7917.03,488.15,2010-09-29 20:00:00
76,0.06197,0.062,0.06189,0.0619,1285891200,1717.45,106.46,2010-09-30 20:00:00
77,0.0614,0.06191,0.06125,0.06197,1285977600,13059.74,802.52,2010-10-01 20:00:00
78,0.06111,0.0614,0.061,0.0614,1286064000,7172.63,439.88,2010-10-02 20:00:00
79,0.0613,0.062,0.06081,0.06111,1286150400,33995.37,2079.89,2010-10-03 20:00:00
80,0.0614,0.06301,0.0609,0.0613,1286236800,27526.61,1699.2,2010-10-04 20:00:00
81,0.06281,0.0635,0.0612,0.0614,1286323200,33433.3,2091.28,2010-10-05 20:00:00
82,0.067,0.067,0.0628,0.06281,1286409600,43692.98,2812.79,2010-10-06 20:00:00
83,0.08685,0.088,0.01,0.067,1286496000,139287.29,10784.23,2010-10-07 20:00:00
84,0.0938,0.12,0.068,0.08685,1286582400,187846.95,16104.87,2010-10-08 20:00:00
85,0.0965,0.1301,0.07999,0.0938,1286668800,50684.19,4889.35,2010-10-09 20:00:00
86,0.095,0.103,0.091,0.0965,1286755200,14092.91,1395.23,2010-10-10 20:00:00
87,0.0949,0.099,0.082,0.095,1286841600,25660.75,2396.82,2010-10-11 20:00:00
88,0.105,0.105,0.092,0.0949,1286928000,47557.27,4558.52,2010-10-12 20:00:00
89,0.102,0.1045,0.065,0.105,1287014400,37217.28,3701.65,2010-10-13 20:00:00
90,0.105,0.119,0.092,0.102,1287100800,24643.33,2554.91,2010-10-14 20:00:00
91,0.101,0.103,0.1,0.105,1287187200,6284.71,633.63,2010-10-15 20:00:00
92,0.102,0.1045,0.1,0.101,1287273600,18222.19,1857.8,2010-10-16 20:00:00
93,0.1024,0.103,0.097,0.102,1287360000,25665.09,2591.64,2010-10-17 20:00:00
94,0.097,0.1019,0.097,0.1024,1287446400,6235.1,623.34,2010-10-18 20:00:00
95,0.099,0.103,0.094,0.097,1287532800,31855.0,3221.08,2010-10-19 20:00:00
96,0.107,0.109,0.097,0.099,1287619200,44867.0,4616.85,2010-10-20 20:00:00
97,0.1025,0.109,0.1015,0.107,1287705600,34603.91,3665.43,2010-10-21 20:00:00
98,0.1055,0.109,0.1045,0.1025,1287792000,4423.47,481.52,2010-10-22 20:00:00
99,0.115,0.19,0.108,0.1055,1287878400,13800.23,1560.61,2010-10-23 20:00:00
100,0.132,0.19,0.09009,0.115,1287964800,30299.64,4450.0,2010-10-24 20:00:00
101,0.1503,0.18,0.133,0.132,1288051200,19219.13,2995.09,2010-10-25 20:00:00
102,0.1877,0.19,0.151,0.1503,1288137600,65605.87,11594.02,2010-10-26 20:00:00
103,0.1731,0.191,0.1731,0.1877,1288224000,21525.04,4009.67,2010-10-27 20:00:00
104,0.19,0.19,0.173,0.1731,1288310400,28686.85,5380.49,2010-10-28 20:00:00
105,0.1989,0.199,0.1875,0.19,1288396800,26708.94,5112.03,2010-10-29 20:00:00
106,0.1925,0.1989,0.171,0.1989,1288483200,40337.76,7829.46,2010-10-30 20:00:00
107,0.1955,0.1955,0.172,0.1925,1288569600,21258.61,4049.75,2010-10-31 20:00:00
108,0.1938,0.195,0.1905,0.1955,1288656000,5853.39,1121.34,2010-11-01 20:00:00
109,0.1931,0.275,0.125,0.1938,1288742400,61472.63,11769.61,2010-11-02 20:00:00
110,0.23,0.236,0.1934,0.1931,1288828800,29698.43,6229.16,2010-11-03 20:00:00
111,0.26,0.2639,0.2101,0.23,1288915200,36622.07,8757.15,2010-11-04 20:00:00
112,0.39,0.5,0.2402,0.26,1289001600,32756.13,9396.96,2010-11-05 20:00:00
113,0.34,0.47,0.286,0.39,1289088000,77218.72,27937.74,2010-11-06 20:00:00
114,0.243,0.37,0.2261,0.34,1289174400,118203.83,38339.26,2010-11-07 19:00:00
115,0.21,0.323,0.199,0.243,1289260800,47983.39,12808.3,2010-11-08 19:00:00
116,0.24,0.24,0.14,0.21,1289347200,30387.03,6110.13,2010-11-09 19:00:00
117,0.2231,0.24,0.21,0.24,1289433600,5031.88,1111.55,2010-11-10 19:00:00
118,0.2682,0.29,0.223,0.2231,1289520000,40720.39,10494.46,2010-11-11 19:00:00
119,0.276,0.3,0.2683,0.2682,1289606400,21915.57,6351.58,2010-11-12 19:00:00
120,0.279,0.299,0.2702,0.276,1289692800,16844.33,4793.81,2010-11-13 19:00:00
121,0.2682,0.2828,0.2682,0.279,1289779200,8507.74,2337.5,2010-11-14 19:00:00
122,0.223,0.275,0.223,0.2682,1289865600,33931.01,8609.67,2010-11-15 19:00:00
123,0.2299,0.29,0.2116,0.223,1289952000,32871.6,8662.61,2010-11-16 19:00:00
124,0.2678,0.283,0.2221,0.2299,1290038400,37446.67,10253.27,2010-11-17 19:00:00
125,0.28,0.28,0.2682,0.2678,1290124800,2157.56,583.45,2010-11-18 19:00:00
126,0.283,0.29,0.2682,0.28,1290211200,14652.69,4119.07,2010-11-19 19:00:00
127,0.2767,0.282,0.2763,0.283,1290297600,765.0,212.67,2010-11-20 19:00:00
128,0.2879,0.2879,0.269,0.2767,1290384000,28205.85,7818.64,2010-11-21 19:00:00
129,0.2829,0.2845,0.276,0.2879,1290470400,4856.92,1361.82,2010-11-22 19:00:00
130,0.283,0.283,0.2761,0.2829,1290556800,2514.91,710.24,2010-11-23 19:00:00
131,0.28,0.2825,0.278,0.283,1290643200,1679.6,469.99,2010-11-24 19:00:00
132,0.2844,0.289,0.2761,0.28,1290729600,33531.88,9510.98,2010-11-25 19:00:00
133,0.283,0.2844,0.2826,0.2844,1290816000,1825.39,515.9,2010-11-26 19:00:00
134,0.27,0.2846,0.27,0.283,1290902400,20802.13,5746.3,2010-11-27 19:00:00
135,0.2299,0.279,0.2151,0.27,1290988800,35055.4,8802.06,2010-11-28 19:00:00
136,0.2082,0.2299,0.204,0.2299,1291075200,21476.25,4570.58,2010-11-29 19:00:00
137,0.2275,0.2299,0.2095,0.2082,1291161600,8157.89,1752.72,2010-11-30 19:00:00
138,0.255,0.2553,0.218,0.2275,1291248000,20312.23,4800.55,2010-12-01 19:00:00
139,0.251,0.2552,0.243,0.255,1291334400,2570.34,633.78,2010-12-02 19:00:00
140,0.205,0.2589,0.205,0.251,1291420800,28560.72,6673.4,2010-12-03 19:00:00
141,0.19,0.235,0.19,0.205,1291507200,5740.18,1178.03,2010-12-04 19:00:00
142,0.204,0.225,0.1841,0.19,1291593600,4319.26,863.02,2010-12-05 19:00:00
143,0.233,0.2477,0.1701,0.204,1291680000,24592.92,5411.8,2010-12-06 19:00:00
144,0.2388,0.24,0.22,0.233,1291766400,3430.41,789.86,2010-12-07 19:00:00
145,0.2,0.233,0.1701,0.2388,1291852800,21336.33,4411.94,2010-12-08 19:00:00
146,0.204,0.204,0.1825,0.2,1291939200,1684.25,328.17,2010-12-09 19:00:00
147,0.228,0.228,0.1907,0.204,1292025600,5788.69,1267.2,2010-12-10 19:00:00
148,0.22,0.2279,0.2068,0.228,1292112000,1963.56,418.8,2010-12-11 19:00:00
149,0.2299,0.23,0.21,0.22,1292198400,6415.59,1425.92,2010-12-12 19:00:00
150,0.2467,0.2468,0.21,0.2299,1292284800,10388.1,2403.83,2010-12-13 19:00:00
151,0.238,0.246,0.238,0.2467,1292371200,3684.68,901.15,2010-12-14 19:00:00
152,0.25,0.255,0.2222,0.238,1292457600,14355.33,3522.62,2010-12-15 19:00:00
153,0.24,0.249,0.24,0.25,1292544000,525.51,130.19,2010-12-16 19:00:00
154,0.241,0.2488,0.241,0.24,1292630400,169.11,41.67,2010-12-17 19:00:00
155,0.2401,0.2499,0.24,0.241,1292716800,2000.76,487.49,2010-12-18 19:00:00
156,0.267,0.275,0.24,0.2401,1292803200,10682.71,2769.88,2010-12-19 19:00:00
157,0.24,0.267,0.24,0.267,1292889600,9225.79,2291.81,2010-12-20 19:00:00
158,0.25,0.25,0.244,0.24,1292976000,3800.46,949.38,2010-12-21 19:00:00
159,0.25,0.25,0.241,0.25,1293062400,8650.15,2160.74,2010-12-22 19:00:00
160,0.248,0.25,0.242,0.25,1293148800,5033.25,1252.05,2010-12-23 19:00:00
161,0.2499,0.25,0.2475,0.248,1293235200,703.0,175.44,2010-12-24 19:00:00
162,0.265,0.27,0.2464,0.2499,1293321600,16584.97,4203.03,2010-12-25 19:00:00
163,0.265,0.27,0.251,0.265,1293408000,4935.49,1270.15,2010-12-26 19:00:00
164,0.281,0.281,0.2612,0.265,1293494400,15438.71,4238.98,2010-12-27 19:00:00
165,0.3,0.301,0.271,0.281,1293580800,18609.14,5363.75,2010-12-28 19:00:00
166,0.3,0.3,0.291,0.3,1293667200,2539.87,759.92,2010-12-29 19:00:00
167,0.3,0.3,0.292,0.3,1293753600,1453.72,428.44,2010-12-30 19:00:00
168,0.3,0.3,0.292,0.3,1293840000,2821.24,841.95,2010-12-31 19:00:00
169,0.3,0.3,0.289,0.3,1293926400,5352.11,1584.66,2011-01-01 19:00:00
170,0.295,0.2999,0.29,0.3,1294012800,1425.19,420.85,2011-01-02 19:00:00
171,0.2989,0.2999,0.289,0.295,1294099200,1879.0,548.33,2011-01-03 19:00:00
172,0.299,0.299,0.29,0.2989,1294185600,357.16,106.19,2011-01-04 19:00:00
173,0.298,0.299,0.29,0.299,1294272000,3456.49,1031.28,2011-01-05 19:00:00
174,0.32,0.322,0.2975,0.298,1294358400,42601.12,13152.15,2011-01-06 19:00:00
175,0.3229,0.3229,0.309,0.32,1294444800,1629.44,512.04,2011-01-07 19:00:00
176,0.323,0.323,0.3229,0.3229,1294531200,1691.37,546.18,2011-01-08 19:00:00
177,0.3266,0.329,0.3175,0.323,1294617600,10355.83,3360.65,2011-01-09 19:00:00
178,0.3266,0.3266,0.3176,0.3266,1294704000,4857.8,1578.66,2011-01-10 19:00:00
179,0.3188,0.3557,0.318,0.3266,1294790400,31359.77,10508.17,2011-01-11 19:00:00
180,0.3176,0.405,0.3176,0.3188,1294876800,20118.9,7147.03,2011-01-12 19:00:00
181,0.4,0.45,0.3176,0.3176,1294963200,27130.96,10691.11,2011-01-13 19:00:00
182,0.386,0.4,0.385,0.4,1295049600,1515.66,591.15,2011-01-14 19:00:00
183,0.3868,0.4,0.386,0.386,1295136000,2778.71,1085.16,2011-01-15 19:00:00
184,0.3495,0.3868,0.315,0.3868,1295222400,18241.15,6360.69,2011-01-16 19:00:00
185,0.313,0.3495,0.305,0.3495,1295308800,15671.51,4950.51,2011-01-17 19:00:00
186,0.313,0.313,0.305,0.313,1295395200,7291.63,2247.62,2011-01-18 19:00:00
187,0.39,0.39,0.31,0.313,1295481600,19881.98,6900.05,2011-01-19 19:00:00
