id,created_at,text
964721659599978496,2018-02-17 04:42:21,RT @TechCrunch: Visa confirms Coinbase wasn’t at fault for overcharging users https://t.co/z8qdynFGau by @fitztepper
964680087894245376,2018-02-17 01:57:10,RT @jenwieczner: Update: Visa and Worldpay have now issued a joint apology to Coinbase customers https://t.co/pB8QW9pek3 https://t.co/ct9LM…
964679320680583170,2018-02-17 01:54:07,"RT @coinbase: Joint Statement from Visa and Worldpay for Coinbase customers

https://t.co/Izgnl70I8S https://t.co/DQLSs1PrU7"
964679307082678273,2018-02-17 01:54:04,RT @brian_armstrong: Glad to see the record set straight on this. It was tough to see people jump to conclusions here and assume the worst…
964665881652375552,2018-02-17 01:00:43,@sonyaellenmann @sbyrnes @earndotcom The counterargument is https://t.co/ybcFS8J9C6. It’s true only some people are… https://t.co/1TfY55ZIXn
961061596842770433,2018-02-07 02:18:35,"RT @earndotcom: By popular request, you can now send rich text tasks and campaigns through https://t.co/bm7iUj8aAu!
https://t.co/kaoJzH2KVr"
959661286366654464,2018-02-03 05:34:14,"@mwilcox @TuurDemeester That’s not the intent. Future airdrops will pay you in BTC as well, not just tokens."
959660820593491968,2018-02-03 05:32:23,"@CleanApp You’d have to make the barcode in the glyphs robust to the types of distortions (scaling, shifting, rotat… https://t.co/EiBs70Dbyw"
959659824559529985,2018-02-03 05:28:26,"If this works, you could also add metadata to the barcode so that you know who took the screenshot and when. Secure… https://t.co/ArsomMclCr"
959658510454673408,2018-02-03 05:23:13,Primary use case would be as an improved watermark for applications like Docsend. Font would need to be designed su… https://t.co/Q2feddDjwV
959657095208452096,2018-02-03 05:17:35,Could we design a screenshot-resistant font? Programmatically vary the glyphs for each letter in a way that’s easy… https://t.co/cdyysfRV6u
959583533302824963,2018-02-03 00:25:17,"RT @davecraige: This is smart. Offer your crypto consulting services through @earndotcom 

/@balajis https://t.co/tdvjnKYM4j"
958551074096345089,2018-01-31 04:02:39,RT @earndotcom: Instant verification is now live at https://t.co/bm7iUj8aAu! Just connect your LinkedIn and an institutional email address…
958174239315574785,2018-01-30 03:05:15,"RT @KikiSchirr: I loved seeing the results of the @ProductHunt Golden Kitty Awards this year!

So many congratulations due, but my fav was…"
958168844048060417,2018-01-30 02:43:48,RT @davidlee: Congratulations to @balajis and others at the @earndotcom team! https://t.co/CytdOw2xNL
