id,created_at,text
965368977881886720,2018-02-18 23:34:34,RT @Jensen: That blows. GG Fox!
965367147990892544,2018-02-18 23:27:18,gg.  Tough loss.  Fuel for practice https://t.co/QNuuOPhiNh
965349444664180741,2018-02-18 22:16:57,"RT @lolesports: Who's the #1 in North America?

@echofoxgg face off against @Cloud9 after the break! #FOXWIN #C9WIN #NALCS

📺 Watch here: h…"
965348773323919360,2018-02-18 22:14:17,RT @Cloud9: Today #C9LoL battles @echofoxgg for 1st Place in the #NALCS. Who wants a #C9WIN? https://t.co/sUxcPCFiqH
965042976794714112,2018-02-18 01:59:09,@cryptograffiti can you send me a DM so i can get pricing on some of your pieces?
965037872041549824,2018-02-18 01:38:52,Go figure - stale food https://t.co/2g2IIKsCb7
965027974503219200,2018-02-18 00:59:33,go @cloud9!!!!  huge match tomorrow against @echofoxgg -- battle for 1st place. https://t.co/EjNsKIF0Mm
964938356294533120,2018-02-17 19:03:26,"RT @mayemusk: .@ToscaMusk talking @PassionFlix in two weeks. Bestselling romance books made into movies, with strong female leads and femal…"
964314257029455872,2018-02-16 01:43:29,Cool to see that @tesla isn't alone in innovating electric cars. https://t.co/0tJDQVX0Ok
964293078990204928,2018-02-16 00:19:20,I bought one.  Can't wait https://t.co/xMPrj6se0s
964284661101862912,2018-02-15 23:45:53,RT @BoringEnormous: Fucks given: Zero. https://t.co/y6HoKRfZQH
964168558505738240,2018-02-15 16:04:32,"RT @KyleSamani: 0/ A lot of people naturally draw the conclusion that crypto will challenge legitimacy of governments, that governments won…"
963631423612735489,2018-02-14 04:30:09,RT @TusharJain_: Token economics are such an important part of investing in crypto. Check out our latest post to understand some token econ…
962918669163552768,2018-02-12 05:17:55,Keeping it real https://t.co/pY9ThwWugi
962665079064870912,2018-02-11 12:30:14,Executing at an extra high level https://t.co/NJZCc3p3qr
962537017979453442,2018-02-11 04:01:22,Let's do this @Cloud9 @Spitfire https://t.co/jSTZY3Wxdc
962504336096968704,2018-02-11 01:51:30,RT @Cloud9: They didn't get the final ace but they got the win! #C9LoL defeat @TeamLiquidLoL and now are 6-1 in the #NALCS! #GGWP https://t…
962503854611873792,2018-02-11 01:49:36,"RT @RealKidPoker: You can accuse @phil_hellmuth of a lot of things, but being cheap isn’t one of them from my experience. He has always bee…"
962002440483581954,2018-02-09 16:37:09,time for @civic! https://t.co/DlQIMQNd2C
961765422616920064,2018-02-09 00:55:20,Amen!!! https://t.co/BD1Q6rWPNL
961754699505451008,2018-02-09 00:12:43,RT @VinnyLingham: The biggest bubble in crypto today is in conferences 😂😂😂 - I really can’t keep up!
961705510046121984,2018-02-08 20:57:15,"RT @cryptomanran: Hey @VinnyLingham , you guys at @civickey claim to be identity experts. If this is true, can you hep us identify who Sato…"
961372273155461120,2018-02-07 22:53:06,.@elonmusk just re-spilled the beans.  the real product of @tesla is the factory and not the car.
961086519288082432,2018-02-07 03:57:36,RT @StephenAtHome: I don't think my Lyft driver knows where he's going. https://t.co/oAnHFRbuNm
961057352697856001,2018-02-07 02:01:43,RT @Bryson_M: the reflection of earth on the Tesla is something else #SpaceX #FalconHeavy https://t.co/W3s6qhp8HB
961031363439747072,2018-02-07 00:18:26,Some mesmerizing photos of spaceman https://t.co/xMc2T7QKrp
961030976955559936,2018-02-07 00:16:54,RT @elonmusk: Live view of Starman https://t.co/gvSlztlE6l
960996768753135616,2018-02-06 22:00:58,"RT @elonmusk: View from SpaceX Launch Control. Apparently, there is a car in orbit around Earth. https://t.co/QljN2VnL1O"
960991422810697728,2018-02-06 21:39:44,"RT @elonmusk: Upper stage restart nominal, apogee raised to 7000 km. Will spend 5 hours getting zapped in Van Allen belts &amp; then attempt fi…"
960983485233094658,2018-02-06 21:08:11,congrats @spacex @elonmusk -- well done! https://t.co/wl9KDv3zXk
960954256940396544,2018-02-06 19:12:03,"RT @DavidSacks: We are big fans of 0x. As the number of tokens becomes infinite, you need a protocol, not just a central exchange, to find…"
960953845785419776,2018-02-06 19:10:25,"RT @elonmusk: Ok, who leaked my selfie!? https://t.co/fYKXbix8jw"
960953809177534469,2018-02-06 19:10:16,RT @elonmusk: Launch auto-sequence initiated (aka the holy mouse-click) for 3:45 liftoff #FalconHeavy
960952616971833346,2018-02-06 19:05:32,.@harbor can help. https://t.co/IQX6k6wzTC
960952146807132160,2018-02-06 19:03:40,"RT @TechCrunch: SpaceX launch now scheduled for 3:45 PM ET. Weather is favorable, monitoring wind levels. More updates soon #FalconHeavy #S…"
960952110429990912,2018-02-06 19:03:31,"RT @0xProject: ""I believe that a wide range of assets and many forms of value will ultimately tokenize because ownership belongs on a block…"
960948813602197508,2018-02-06 18:50:25,"RT @SpaceX: Continue to monitor the upper level wind shear. New T-0 is 3:45 p.m. EST, 20:45 UTC."
960947278147145728,2018-02-06 18:44:19,another rocket launching today :) https://t.co/Plwo70AfyR
960947180143022080,2018-02-06 18:43:55,"RT @DavidSacks: Harbor has published the R-Token Standard, an ERC20 token that can be configured to enforce regulatory requirements. This c…"
960943337783128064,2018-02-06 18:28:39,+1 https://t.co/NmABShMWGy
960907447345950720,2018-02-06 16:06:02,RT @elonmusk: About 2.5 hours to T-0 for Falcon Heavy. Watch sim for highlight reel of what we hope happens. Car actually takes 6 months to…
960857190838894593,2018-02-06 12:46:20,Keeping it real https://t.co/E9CiNWPRfg
960838046525530112,2018-02-06 11:30:16,"RT @Teslarati: ""We will have a good time no matter what happens. It’s going to be exciting one way or another."" - Elon Musk

Don't miss Spa…"
960720001450762241,2018-02-06 03:41:12,It is going to be exciting! https://t.co/nvbUG0kuvq
960716525278707713,2018-02-06 03:27:23,Nothing to see here. https://t.co/qNY3PALX6c
960697654442262528,2018-02-06 02:12:24,Beats crypto any day :) https://t.co/UhmcIBC1fR
960598594439979008,2018-02-05 19:38:46,RT @VinnyLingham: Forget Bitcoin. Imagine how many Lambos are on sale right now!
960372023032598529,2018-02-05 04:38:27,RT @elonmusk: Falcon Heavy remains go for launch at 1:30pm on Tuesday
960314206909120512,2018-02-05 00:48:43,RT @dailywaxcards: When you accidentally wear your wife's coat. #superbowl https://t.co/cNqKTmOFL7
960216708853018624,2018-02-04 18:21:18,RT @Rxbun: Hashbrowns at mcdonalds https://t.co/hDQg01b3FS
960216599130025984,2018-02-04 18:20:51,RT @dfiden: I wish Chase banned crypto when when I bought at $13K.
960177612885651457,2018-02-04 15:45:56,Slick https://t.co/8JLAWA5tq1
959939537303609344,2018-02-03 23:59:55,RT @Cloud9: #C9LoL take the win over @OpTicGaming in the #NALCS! #C9WIN https://t.co/k5JOiCvMr4
959939430508257280,2018-02-03 23:59:29,RT @JackEtienne: Congrats C9 LCS! I’m so thankful the actual season is being kinder to us than the off season.  #C9WIN
959920641230233600,2018-02-03 22:44:49,RT @elonmusk: Falcon Heavy launch simulation almost ready. Will be set to Bowie’s Life on Mars.
959577082782101504,2018-02-02 23:59:39,+1 https://t.co/DU1tVJEw5G
959253238502576129,2018-02-02 02:32:48,@SteveMnich Thumbs up.  Works great for certain foods!
959246248539709440,2018-02-02 02:05:02,And....  the fire department was just here.  No joke.   Fat dripped down from the kobe and created a white smoke.… https://t.co/gJi3CkxOAG
959244650878926848,2018-02-02 01:58:41,Feeling frisky - let's put some Kobe wagyu in there.  Buckle your seatbelts. https://t.co/Nq1lMBxkCG
959244413279940608,2018-02-02 01:57:44,French fries!!!!  Winner!!! https://t.co/bGaBuz0ruP
959228193549897728,2018-02-02 00:53:17,If this air fryer makes french fries anywhere near McDonald's I'm never leaving my house https://t.co/2kpGb74HyY
959219662939504646,2018-02-02 00:19:23,Can't wait! https://t.co/B0idy0dlUI
959110106062446594,2018-02-01 17:04:03,RT @NeerajKA: Maduro is taking credit for the recent cryptocurrency downturn https://t.co/DC3Vgf2jZW https://t.co/nTXNBm26ZX
958831012422692864,2018-01-31 22:35:02,RT @VinnyLingham: Exciting times for @civickey (hint: https://t.co/yTUeuVmROh) https://t.co/mMKgc9SPdM
958829091918172160,2018-01-31 22:27:24,RT @SpaceX: Successful deployment of GovSat-1 to a Geostationary Transfer Orbit confirmed. https://t.co/0D3h7hR7YF
958803193688883201,2018-01-31 20:44:29,RT @SpaceX: T-60 minutes until Falcon 9 launch of GovSat-1. Launch webcast will go live about 15 minutes before liftoff → https://t.co/gtC3…
