day,epu_idx,price,volume,bidask,tpm,trans,exp_sem
3/24/13,126.08,68.28793944,3361107.529,0.761886246,2.203645833,51335,0.24065
3/25/13,178.57,73.64860696,6917269.079,0.97824062,2.824131944,48993,0.2023
3/26/13,163.29,77.09092814,5322638.202,0.931310253,2.560416667,49061,0
3/27/13,177.06,85.25651017,7356470.039,1.033937359,3.198784722,53207,0.2123
3/28/13,72.92,90.65874142,14770202.39,1.555560414,5.049826389,60989,0.2024
3/29/13,90.71,90.09932759,8916749.024,1.125433367,3.436458333,62259,0.240066667
3/30/13,115.02,91.49940002,4145189.489,1.024071917,2.069097222,59196,0.1454
3/31/13,154.03,92.95992885,2546832.671,0.795620844,1.428125,43986,0
4/1/13,104.12,97.86932259,11546905.04,0.85969035,4.274826389,52770,0.2198
4/2/13,86.12,107.4081934,12030525.76,0.895404855,5.492013889,63276,0
4/3/13,85.68,130.1038298,26695144.82,1.706900894,9.297569444,63941,0.2510625
4/4/13,101.29,132.0055518,14935521.78,1.021898375,6.227951389,66892,0.4019
4/5/13,104.65,137.0017313,12846836.72,0.723585768,5.443055556,61373,0.28065
4/6/13,138.62,141.7576521,4493562.647,0.566768396,3.673784722,51718,0
4/7/13,123.55,150.8295623,12516070.28,0.546008461,5.496180556,63541,0.0385
4/8/13,64.04,179.6493836,28211675.57,0.940331097,8.354861111,61680,0.2199
4/9/13,68.93,206.4855747,29649448.14,0.770836921,8.168576389,66979,0
4/10/13,145.88,220.1095987,43705144.67,1.422728988,10.64479167,63881,0.026342857
4/11/13,55.27,132.9674444,33757166.1,2.444099354,14.70746528,68407,-0.407666667
4/12/13,42.73,85.8967812,61035903.68,2.362495575,24.3625,58690,0.066435294
4/13/13,84.41,107.6554871,35253716.64,1.691196366,14.3859375,53517,0.260125
4/14/13,114.58,99.27172407,20570251.63,1.3968564,8.829166667,55471,0.162725
4/15/13,138.99,93.10391329,27295528.6,1.398401813,13.34409722,54496,0.112283333
4/16/13,27.22,66.79537899,46648077.56,1.717690855,24.13020833,67785,-0.087016667
4/17/13,86.66,82.46694651,36764728.92,1.451649593,17.97899306,56706,0.21075
4/18/13,51.21,93.49310025,21232832.26,1.420838633,9.3734375,46631,0
4/19/13,57.5,116.7607512,40056661.78,1.539461572,14.44114583,59528,0.308233333
4/20/13,83.67,119.603738,12132236.28,1.455274257,5.586458333,48302,0.1071
4/21/13,106.18,121.4307643,17626905.82,1.500969521,7.969965278,44224,0
4/22/13,64.71,121.3518404,9691235.329,1.269566325,4.277083333,47194,0.0843
4/23/13,111.75,128.4462269,20853421.21,1.302998435,8.686458333,61668,0
4/24/13,126.26,146.5822719,45558156.11,1.405101812,13.87135417,65023,0.1886875
4/25/13,44.58,149.7390144,35081260.32,1.426537232,11.29305556,62566,-0.07805
4/26/13,92.18,133.3867756,22516386.63,1.514938709,9.705034722,55264,0.251425
4/27/13,59.83,132.555605,10934185.94,1.455597386,5.553993056,44369,0
4/28/13,115.63,131.4714492,6000342.801,0.603542679,4.11875,41879,0
4/29/13,107.23,137.7757237,14331019.73,0.463005894,7.240104167,51776,0.1468
4/30/13,81.56,140.1777824,13208339.53,0.427458905,5.3421875,47599,0.8011
5/1/13,74.13,127.685055,30207415.57,0.569247956,12.3640625,55327,0.6249
5/2/13,101.98,111.3833125,34080554.53,0.656941272,14.14791667,55429,0.05546
5/3/13,104.35,93.52030872,31140076.14,0.752317142,13.6796875,51412,0.1196875
5/4/13,91,104.6408536,19961484.42,0.648259166,9.852083333,50261,0.315514286
5/5/13,103.25,113.8674746,13261814.81,0.661332848,7.813020833,50332,0
5/6/13,68.88,118.1781558,23129017.12,0.496981693,11.28993056,53340,0.5783
5/7/13,110.22,107.9111296,19993935.71,0.792915085,10.04409722,56735,0.3238
5/8/13,60.31,112.0778584,9826177.343,0.655335557,6.653298611,50439,0.31195
5/9/13,30.12,110.7297855,4680360.215,0.541641701,3.413888889,66774,-0.02035
5/10/13,65.03,114.9218072,12302683.43,0.473104922,5.900173611,67881,0.4329
5/11/13,95.81,115.1821711,4586922.892,0.469377922,3.356423611,73402,0.37895
5/12/13,100.52,114.2420601,3430044.959,0.405407415,2.7875,65428,0.28895
5/13/13,51.8,115.5140417,4211284.588,0.346044553,3.032291667,60998,0.475666667
5/14/13,166.99,115.8281007,13528463.93,0.352375422,7.030208333,66470,0.331
5/15/13,60.66,109.4462765,16718271.06,0.497457759,8.772569444,64171,0
5/16/13,75.24,110.6620113,7185269.103,0.471957365,4.398958333,61158,0.1901
5/17/13,27.77,114.7407361,12336031,0.337821077,7.031423611,58731,0
5/18/13,93.67,117.8531583,3916222.654,0.352074151,3.247743056,52215,0.175314286
5/19/13,96.28,117.77309,3626397.094,0.302987231,3.064583333,47820,0.6898
5/20/13,76.24,117.3306459,3099494.384,0.305126125,2.536458333,48821,0.8356
5/21/13,54.39,117.7302147,2804232.565,0.322595771,3.159895833,53942,-0.1531
5/22/13,78.07,118.9927336,3959417.833,0.315567015,2.9890625,51990,0.28595
5/23/13,68.76,121.4121013,4958684.254,0.247213512,4.737673611,59789,0.0251
5/24/13,75.95,126.3781506,10020559.02,0.292087282,6.688368056,55401,0
5/25/13,50.14,129.2426202,3678414.048,0.358887417,3.277777778,51280,0.4221
5/26/13,109.35,130.3736016,4427672.778,0.327799594,3.582638889,40722,0.086166667
5/27/13,87.19,130.3395858,8219818.681,0.280688379,5.544097222,52758,0
