day,epu_idx,price,volume,bidask,tpm,trans,exp_sem
3/24/2013,126.08,5.36066752,3556161.55,0.216354374,0.620486111,-2342,0.24065
3/25/2013,178.57,3.44232118,-1594630.877,-0.046930367,-0.263715277,68,0.2023
3/26/2013,163.29,8.16558203,2033831.837,0.102627106,0.638368055,4146,0
3/27/2013,177.06,5.40223125,7413732.351,0.521623055,1.851041667,7782,0.2123
3/28/2013,72.92,-0.55941383,-5853453.366,-0.430127047,-1.613368056,1270,0.2024
3/29/2013,90.71,1.40007243,-4771559.535,-0.10136145,-1.367361111,-3063,0.240066667
3/30/2013,115.02,1.46052883,-1598356.818,-0.228451073,-0.640972222,-15210,0.1454
3/31/2013,154.03,4.90939374,9000072.369,0.064069506,2.846701389,8784,0
4/1/2013,104.12,9.53887081,483620.72,0.035714505,1.2171875,10506,0.2198
4/2/2013,86.12,22.6956364,14664619.06,0.811496039,3.805555555,665,0
4/3/2013,85.68,1.901722,-11759623.04,-0.685002519,-3.069618055,2951,0.2510625
4/4/2013,101.29,4.9961795,-2088685.06,-0.298312607,-0.784895833,-5519,0.4019
4/5/2013,104.65,4.7559208,-8353274.073,-0.156817372,-1.769270834,-9655,0.28065
4/6/2013,138.62,9.0719102,8022507.633,-0.020759935,1.822395834,11823,0
4/7/2013,123.55,28.8198213,15695605.29,0.394322636,2.858680555,-1861,0.0385
4/8/2013,64.04,26.8361911,1437772.57,-0.169494176,-0.186284722,5299,0.2199
4/9/2013,68.93,13.624024,14055696.53,0.651892067,2.476215281,-3098,0
4/10/2013,145.88,-87.1421543,-9947978.57,1.021370366,4.06267361,4526,0.026342857
4/11/2013,55.27,-47.0706632,27278737.58,-0.081603779,9.65503472,-9717,-0.407666667
4/12/2013,42.73,21.7587059,-25782187.04,-0.671299209,-9.9765625,-5173,0.066435294
4/13/2013,84.41,-8.38376303,-14683465.01,-0.294339966,-5.556770833,1954,0.260125
4/14/2013,114.58,-6.16781078,6725276.97,0.001545413,4.514930553,-975,0.162725
4/15/2013,138.99,-26.3085343,19352548.96,0.319289042,10.78611111,13289,0.112283333
4/16/2013,27.22,15.67156752,-9883348.64,-0.266041262,-6.15121527,-11079,-0.087016667
4/17/2013,86.66,11.02615374,-15531896.66,-0.03081096,-8.60555556,-10075,0.21075
4/18/2013,51.21,23.26765095,18823829.52,0.118622939,5.06770833,12897,0
4/19/2013,57.5,2.8429868,-27924425.5,-0.084187315,-8.854687497,-11226,0.308233333
4/20/2013,83.67,1.8270263,5494669.54,0.045695264,2.383506945,-4078,0.1071
4/21/2013,106.18,-0.0789239,-7935670.491,-0.231403196,-3.692881945,2970,0
4/22/2013,64.71,7.0943865,11162185.88,0.03343211,4.409375,14474,0.0843
4/23/2013,111.75,18.136045,24704734.9,0.102103377,5.184895837,3355,0
4/24/2013,126.26,3.1567425,-10476895.79,0.02143542,-2.57829861,-2457,0.1886875
4/25/2013,44.58,-16.3522388,-12564873.69,0.088401477,-1.588020838,-7302,-0.07805
